"Finance Store","2586%","$4m","Financial Services","California","Los Angeles",35,
"Monster Flooring SALE","2556%","$3.7m","Retail","Texas","Dallas",31,
"Hudl","2535%","$14.1m","Software","Nebraska","Lincoln NE",102,
"Rigid Industries","2528%","$24m","Manufacturing","Arizona","Phoenix",149,
"GiftCardRescue.com","2518%","$6.5m","Consumer Products & Services","Maryland","Baltimore",8,
"W4","2515%","$59.7m","Advertising & Marketing","California","Los Angeles",40,
"Regal Wings","2513%","$15.3m","Travel & Hospitality","New York","New York City",73,
"Chicagoland Foreign Investment Group","2511%","$3.9m","Financial Services","Illinois","Chicago",9,
"1st American Systems and Services","2492%","$2.6m","Government Services","Virginia","Washington DC",34,
"Extrabux.com","2492%","$4.6m","Consumer Products & Services","California","San Diego",15,
"SCM Data","2491%","$10.3m","IT Services","New Jersey","New York City",150,
"Mobomo","2484%","$2.7m","Software","District of Columbia","Washington DC",13,
"PropertyRate","2455%","$4.1m","Real Estate","California","Los Angeles",7,
"Medical Staffing Options","2444%","$4.6m","Health","Ohio","Columbus OH",200,
"projekt202","2436%","$12.5m","Software","Texas","Dallas",73,
"Summerset Professional Grills","2429%","$6m","Consumer Products & Services","California","Los Angeles",6,
"SimplyGlobo","2423%","$2.6m","Retail","Illinois","Chicago",11,
"BrightSource Energy","2415%","$291m","Energy","California","San Francisco",481,
"EDJ Precision","2410%","$4m","Manufacturing","Texas","Houston",11,
"Alternative Technology Solutions","2407%","$8.7m","Software","California","Los Angeles",52,
"BayRu","2390%","$19.4m","Retail","Illinois","Chicago",120,
"HUMAN Healthy Vending","2378%","$9.2m","Food & Beverage","California","Los Angeles",30,
"GSATi","2367%","$2.4m","IT Services","Texas","Dallas",23,
"TracePoint Consulting","2355%","$4.9m","IT Services","Georgia","Atlanta",18,
"Extreme Reach","2349%","$41.5m","Advertising & Marketing","Massachusetts","Boston",203,
"Act-On Software","2330%","$9.2m","Software","Oregon","Portland OR",140,
"CSI Powerline","2313%","$15.9m","Energy","Arizona","Phoenix",140,
"Refinery29","2301%","$16.5m","Media","New York","New York City",99,
"Clinovations","2296%","$12.8m","Health","District of Columbia","Washington DC",41,
"Mixbook","2288%","$25m","Retail","California","San Jose",60,
"LenCred","2286%","$3m","Financial Services","New Jersey","Philadelphia",32,
"Ticketracker","2267%","$2.5m","Software","Indiana","Anderson IN",11,
"Recondo Technology","2261%","$30.3m","Health","Colorado","Denver",251,
"Sky Zone Trampoline Park","2249%","$50.6m","Consumer Products & Services","California","Los Angeles",190,
"TNH ADVANCED SPECIALTY PHARMACY","2248%","$37.7m","Health","California","Los Angeles",20,
"Streamline Defense","2236%","$6.2m","Government Services","Florida","Tampa",60,
"First Flight Solutions","2232%","$2.7m","Logistics & Transportation","North Carolina","Morehead City NC",0,
"WordStream","2225%","$3.3m","Advertising & Marketing","Massachusetts","Boston",56,
"IT Strategic Performance Firm","2225%","$3.4m","IT Services","Texas","San Antonio TX",38,
"Ad-Juster","2218%","$2.7m","Advertising & Marketing","California","San Diego",18,
"EnSite Solutions","2207%","$10.6m","Business Products & Services","Texas","Dallas",14,
"NextWorth Solutions","2195%","$31m","Consumer Products & Services","Massachusetts","Boston",20,
"Omatic Software","2192%","$4.9m","Software","South Carolina","Charleston-North Charleston SC",22,
"Advopay","2178%","$3.6m","Financial Services","Indiana","Indianapolis IN",75,
"Greenphire","2178%","$5.3m","Software","Pennsylvania","Philadelphia",42,
"Wall Street Network Solutions","2156%","$7.6m","Telecommunications","New Jersey","New York City",12,
"S2Verify","2142%","$4.4m","Human Resources","Georgia","Atlanta",15,
"Target Logistics","2131%","$121.9m","Business Products & Services","Massachusetts","Boston",450,
"Virtual Enterprise Architects","2127%","$3.8m","IT Services","District of Columbia","Washington DC",23,
"Titan Protection and Consulting","2117%","$2.4m","Security","Kansas","Kansas City MO-KS",158,
"Evolution Capital Partners","2117%","$2.7m","Financial Services","Ohio","Cleveland",5,
"Glass Mountain Capital","2112%","$6.8m","Financial Services","Illinois","Chicago",140,
"SiiBER","2095%","$2.5m","Consumer Products & Services","Indiana","Fort Wayne IN",7,
"iSirona","2092%","$17.2m","Health","Florida","Panama City-Lynn Haven FL",173,
"Cell Phone Repair","2091%","$7.5m","Retail","Florida","Orlando FL",45,
"Silencerco","2084%","$6.3m","Consumer Products & Services","Utah","Salt Lake City",51,
"CWU","2062%","$10.2m","Government Services","Florida","Tampa",153,
"AudioMicro","2053%","$2.1m","Media","California","Los Angeles",5,
"ReconCraft","2045%","$2.1m","Manufacturing","Massachusetts","Boston",12,
"TEEMA Solutions Group","2042%","$30m","Human Resources","California","Los Angeles",90,
"Solomon Consulting Group","2027%","$2.1m","IT Services","Kansas","Kansas City MO-KS",20,
"GarbageMan A Green Company","2018%","$8.8m","Environmental Services","Minnesota","Minneapolis",49,
"TheraPearl","2017%","$5m","Consumer Products & Services","Maryland","Baltimore",16,
"Landmark Network","2004%","$7.5m","Real Estate","California","Los Angeles",57,
"TaskUs","1999%","$3.8m","Business Products & Services","California","Los Angeles",424,
"NTE Solutions","1997%","$4.4m","Energy","Florida","Jacksonville FL",16,
"Arocon Roofing and Construction","1982%","$8.7m","Construction","Maryland","Baltimore",50,
"The Brixton Group","1975%","$20.9m","IT Services","North Carolina","Charlotte",11,
"FreeAlliance.com","1952%","$2.6m","Government Services","District of Columbia","Washington DC",7,
"BWBacon Group","1949%","$3.5m","Human Resources","Colorado","Denver",6,
"Sovereign Lending Group","1945%","$6.2m","Financial Services","California","Los Angeles",49,
"Novisync","1928%","$7.4m","IT Services","New York","Poughkeepsie-Newburgh-Middletown NY",119,
"Snap Advances","1925%","$21.9m","Financial Services","Utah","Salt Lake City",40,
"Dane Street","1922%","$9.4m","Health","Massachusetts","Boston",81,
"OpenX","1921%","$153.9m","Advertising & Marketing","California","Los Angeles",276,
"Quick Left","1917%","$2.8m","Software","Colorado","Boulder CO",20,
"Titan Electric","1916%","$6.8m","Construction","North Carolina","Charlotte",50,
"Victor Securities","1910%","$5m","Financial Services","New Jersey","New York City",14,
"New Wave Surgical","1904%","$12.3m","Health","Florida","Miami",98,
"Superfly Kids","1893%","$2.3m","Consumer Products & Services","Michigan","Detroit",17,
"LINQ Services","1892%","$57.4m","Business Products & Services","Maryland","Baltimore",25,
"Vesa Health & Technology","1856%","$15.5m","Government Services","Texas","San Antonio TX",149,
"Adora","1855%","$2.6m","Retail","North Carolina","Thomasville-Lexington NC",84,
"WebPT","1837%","$8.8m","Software","Arizona","Phoenix",140,
"Rethink Autism","1827%","$4m","Education","New York","New York City",22,
"Team Trident","1823%","$6.7m","Energy","Texas","Houston",6,
"Camp Gladiator","1820%","$4.6m","Consumer Products & Services","Texas","Austin",16,
"Whitacre logisitcs","1813%","$19.9m","Logistics & Transportation","Ohio","Toledo OH",135,
"VinoPro","1810%","$2.4m","Food & Beverage","California","Santa Rosa-Petaluma CA",40,
"Xtreme Solutions","1810%","$8.5m","IT Services","Georgia","Atlanta",157,
"North Florida Field Services","1808%","$13m","Construction","Florida","Jacksonville FL",46,
"TubeMogul","1803%","$53.3m","Advertising & Marketing","California","San Francisco",165,
"iQuanti","1796%","$2.5m","Advertising & Marketing","New Jersey","New York City",50,
"PanelClaw","1790%","$35.2m","Energy","Massachusetts","Boston",46,
"VETS etc.","1788%","$3.7m","IT Services","California","Salinas CA",15,
"Infolob Solutions","1778%","$12.1m","IT Services","Texas","Dallas",120,
"VincentBenjamin","1770%","$8.1m","Human Resources","Arizona","Phoenix",34,
"CardCash.com","1769%","$16m","Consumer Products & Services","New Jersey","New York City",42,
"Cardinal Point Captains","1765%","$2m","Government Services","California","San Diego",30,
"TrendyMinds","1758%","$3.7m","Advertising & Marketing","Indiana","Indianapolis IN",29,
"Modern Everyday","1751%","$6m","Retail","California","Los Angeles",24,
"SearchPros Solutions","1727%","$27.6m","Human Resources","California","Sacramento CA",713,
"Gravity Media","1724%","$12.3m","Advertising & Marketing","New York","New York City",15,
"Babyhaven.com","1716%","$11.4m","Retail","California","Los Angeles",94,
"BENZARA","1702%","$2m","Retail","California","Los Angeles",5,
"Plum Organics","1691%","$80.7m","Food & Beverage","California","San Francisco",62,
"Crunchy Logistics","1687%","$2.1m","IT Services","Florida","Orlando FL",14,
"Transcend Media","1673%","$6.6m","Advertising & Marketing","Florida","Miami",107,
"FlexWage Solutions","1670%","$2.1m","Financial Services","New Jersey","New York City",8,
"3 Key Elements","1666%","$2m","Education","Utah","Salt Lake City",12,
"Patient Engagement Advisors","1664%","$2.3m","Health","Alabama","Birmingham-Hoover AL",30,
"Macrospect","1661%","$4.5m","IT Services","Texas","Dallas",32,
"iDrive Logistics","1653%","$11.2m","Logistics & Transportation","Utah","Provo-Orem UT",7,
"Technomax","1652%","$2.3m","IT Services","New Jersey","Trenton NJ",9,
"ShayCore Enterprises","1640%","$6.8m","Construction","Florida","Jacksonville FL",50,
"SAPremacy Consulting","1640%","$6.1m","IT Services","Illinois","Chicago",2,
"MSR Promo","1630%","$2.3m","Business Products & Services","New York","New York City",4,
"Verdi Consulting","1626%","$5.8m","Government Services","Virginia","Washington DC",45,
"Hawaii Energy Connection","1609%","$45.1m","Energy","Hawaii","Honolulu HI",80,
"NUE Agency","1604%","$4.5m","Media","New York","New York City",4,
